categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;4462;643.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4496;558.24;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4573;442;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4574;456.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4580;406;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4664;458.96;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4725;2692.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4734;475.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4949;556.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;5090;997.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;5522;463.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;5522;463.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;5782;258.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;5856;273.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6196;942.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6228;901.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6242;380.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6264;276;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6300;559.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6317;827.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6342;431.36;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6350;276.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6356;553.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6378;504.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6379;452.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6380;504.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6381;489.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6382;489.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6397;1286.96;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6439;879.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6440;860.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6541;348;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6574;337.28;8;;10/05/2024;;;IPTU 2024;0;6;
