categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;45141;1647.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;21718;466.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;42697;466.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;42698;401.01;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;13613;383.47;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6544;279.02;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6541;363.34;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2086;1022.78;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;9391;243.03;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;17041;261.67;1;;23/04/2025;;;IPTU 2025;0;6;
1;1;40828;31.23;1;;23/04/2025;;;IPTU 2025;0;6;
1;1;7555;5446.43;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11610;485.97;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11611;415.88;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11612;415.88;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11613;415.88;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11614;381.25;1;;23/04/2025;;;IPTU 2025;0;6;
1;1;11615;415.86;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1278;1227.36;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1292;143.07;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2297;796.27;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2309;30.17;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;4253;453.03;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4271;25.29;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;5090;1041.25;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28747;24.96;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28763;24.96;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28823;606.2;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28845;599.58;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35136;658.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35222;19.23;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;29441;2886.58;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;18266;223.69;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;41269;14.91;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;18267;182.23;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;41270;9.77;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;13807;157.82;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34555;489.65;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;615;1219.14;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;616;1366.21;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;645;960.61;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;646;920.76;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;7647;273.48;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;7648;531.89;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;37778;175.82;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33785;515.46;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32636;813.33;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;614;1511.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22455;3347.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;10195;513.8;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;12417;749.64;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;13650;612.78;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2362;1161.82;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35723;37.61;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35724;49.01;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4734;496.43;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1384;698.4;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1396;20.75;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;2255;39.55;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34141;524.26;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46914;20.26;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;33101;238.22;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33118;14.22;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11701;240.72;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11702;30.73;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11861;495.58;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11862;27.99;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;1983;763.37;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1991;45.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6240;376.15;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4725;2893.63;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36870;91.9;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32073;207.58;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32123;12.53;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;32261;330.64;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2425;634.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46122;647.92;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46123;634.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46124;647.92;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46125;634.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46126;647.92;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2426;780.09;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2427;839.31;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;3645;617.56;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6228;941.46;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6264;288.17;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33211;297.59;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22137;543.5;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;42859;409.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22403;476.48;8;;20/05/2025;;;IPTU 2025;0;6;
